Name,Age,Salary
Sunil,29,28825
Sunil,43,56776
Naresh,52,76821
Venugopal,36,68038
Anil,51,78524
Rajesh,21,66981
Venugopal,43,40122
Rajesh,40,49982
Anil,39,17667
Sanjay,30,16397
Shyamu,53,15710
Mahesh,42,56557
Kamal,26,77621
Mukesh,52,70918
Kamal,45,16010
Mahesh,29,29485
Rajesh,39,55121
Vijay,51,64262
Rajesh,25,50498
Anil,28,45777
Venugopal,58,42154
Anil,60,66687
Ajay,59,41764
Anil,49,18708
Suresh,43,75773
Mahesh,47,30031
Rakesh,39,48816
Rajesh,48,64996
Ramu,29,34088
Ramu,53,41728
Kamal,34,21512
Vijay,45,64034
Suresh,53,17825
Sunil,31,54888
Suresh,54,60847
Mahesh,57,79992
Rakesh,59,19179
Rakesh,35,77720
Naresh,29,50397
Rakesh,25,20452
Kamal,59,22296
Sunil,21,46877
Rakesh,39,71513
Venugopal,53,24298
Rakesh,27,18975
Shyamu,31,76959
Vijay,37,70360
Venugopal,37,47828
Mahesh,48,79428
Naresh,50,39319
Vijay,32,43327
Sunil,26,64659
Naresh,55,45495
Mahesh,54,35294
Shyamu,46,32861
Mukesh,40,25607
Ajay,32,32578
Rakesh,57,26711
Ramu,39,45627
Mahesh,49,79707
Naresh,27,37729
Venugopal,56,31461
Mukesh,56,28244
Vijay,38,23982
Kamal,28,33388
Vijay,59,39751
Vijay,32,26759
Vijay,24,22839
Rakesh,59,65435
Rajesh,29,15423
Suresh,26,45432
Mahesh,26,56405
Kamal,29,28716
Sanjay,50,40947
Ramu,36,45374
Ramu,29,25159
Ramu,56,28020
Ajay,57,71616
Vijay,34,37709
Anil,25,34711
Suresh,29,20683
Sunil,37,18994
Sanjay,40,50916
Mahesh,54,26532
Mahesh,47,21785
Kamal,24,71573
Shyamu,29,23011
Rajesh,38,51111
Mahesh,22,15215
Mahesh,21,21577
Mukesh,27,71819
Sanjay,57,38140
Naresh,36,41552
Ajay,22,60003
Sanjay,51,78360
Anil,41,27404
Kamal,59,63365
Vijay,45,59572
Kamal,54,47485
Mahesh,25,29820
Ramu,58,71051
Venugopal,27,34135
Vijay,27,46995
Suresh,33,78556
Sanjay,52,73041
Rakesh,28,46957
Rajesh,43,56896
Naresh,29,53323
Ajay,24,62877
Shyamu,41,15342
Mukesh,34,53769
Ajay,21,18670
Naresh,26,63872
Rajesh,28,36355
Venugopal,46,69193
Ajay,41,45766
Kamal,35,26899
Venugopal,30,55845
Sunil,25,32009
Sunil,29,36345
Mukesh,24,22045
Shyamu,44,21887
Sunil,44,75025
Naresh,38,23901
Venugopal,60,39038
Sunil,34,18204
Venugopal,33,36078
Ajay,40,74119
Ajay,35,32685
Sanjay,34,63117
Anil,45,32361
Vijay,45,37973
Ramu,32,62419
Sunil,45,68642
Sanjay,39,17084
Suresh,52,42595
Mahesh,31,21543
Kamal,58,16344
Sunil,57,39896
Rakesh,39,29819
